Block Simulation Results: 2025-04-07_12-39-43

Input Configuration:
 Block Time  Block Propagation Delay  No. Miners  Simulation Time
        600                     0.42           3            10000

Blocks Simulation Results:
 Total Blocks  Main Blocks  Uncle blocks  Uncle Rate  Stale Blocks  Stale Rate  # transactions
           21           21             0           0             0         0.0           38653

Miner Profit Results:
 Miner ID  % Hash Power  # Mined Blocks  % of main blocks  # Uncle Blocks  % of uncles  Profit (in ETH)
        0            50              13             61.90               0            0       165.726984
        0             0               0              0.00               0            0         0.000000
        1            20               5             23.81               0            0        63.747114
        0             0               0              0.00               0            0         0.000000
        2            30               3             14.29               0            0        38.244583
        0             0               0              0.00               0            0         0.000000

Blockchain Chain Data:
 Block Depth    Block ID  Previous Block  Block Timestamp  Miner ID  # transactions  Block Size
           0           0              -1         0.000000       NaN               0         1.0
           1 13167624632               0        95.137110       1.0            1856         1.0
           2 99280101437     13167624632       208.130084       0.0            1739         1.0
           3 97059503088     99280101437       276.161934       1.0            1945         1.0
           4 48489549455     97059503088      1402.472914       2.0            1913         1.0
           5 70027950595     48489549455      1514.461954       0.0            1857         1.0
           6 21353351609     70027950595      1606.536994       0.0            1879         1.0
           7 28358178087     21353351609      1975.519792       2.0            1822         1.0
           8 57869700849     28358178087      1976.560700       1.0            1807         1.0
           9 45777958168     57869700849      2162.591353       0.0            1832         1.0
          10 83664454736     45777958168      2332.728934       0.0            1834         1.0
          11 32119162571     83664454736      3860.976265       0.0            1851         1.0
          12  7469397147     32119162571      4942.720432       1.0            1812         1.0
          13 46570093509      7469397147      5110.620152       2.0            1827         1.0
          14 98025594009     46570093509      5126.196182       0.0            1749         1.0
          15 40292123359     98025594009      6073.947177       0.0            1867         1.0
          16 90990398509     40292123359      6328.316832       0.0            1867         1.0
          17 66980016659     90990398509      6690.781352       0.0            1832         1.0
          18 16704266416     66980016659      6787.632238       0.0            1832         1.0
          19 74347818110     16704266416      6798.901022       0.0            1898         1.0
          20 23070983622     74347818110      7614.269895       1.0            1782         1.0
          21 84702895158     23070983622      8283.208556       0.0            1852         1.0

